from_stop_id,to_stop_id,transfer_type,min_transfer_time
48432,7899262,2,270
2126,8357852,2,217
2348,6251680,2,207
1866,7275211,2,232
1866,7275210,2,236
6673098,1776,2,304
1664,5747143,2,210
2197,3909108,2,213
2126,7991820,2,281
2482,7921058,2,225
6673112,2530,2,248
2195,5067611,2,270
2451,3672286,2,316
2077,4045033,2,282
2215,3970614,2,232
1998,7292434,2,330
2195,5067612,2,270
1998,7945876,2,330
48431,3672158,2,270
1921,7275424,2,188
3741081,2243,2,241
1921,7275423,2,225
2530,7945924,2,248
4314737,1809,2,204
1650,7275458,2,248
2482,8451935,2,254
7981246,1923,2,295
4314738,2348,2,204
48431,3672259,2,270
2187,7921309,2,294
1998,1997,2,156
2187,7921308,2,319
1998,1996,2,145
2451,2224154,2,279
2482,1729,2,330
1650,7275208,2,226
2197,5161434,2,193
4473125,2483,2,191
2197,5161433,2,213
2059,5121801,2,186
2126,4211804,2,282
2059,5121800,2,186
2451,2224153,2,279
48431,3672223,2,270
2333,3812968,2,213
2333,3812969,2,215
2097,3730340,2,227
5605643,2188,2,212
1672,7275155,2,276
2348,3757175,2,225
1866,7275443,2,236
2166,3813522,2,225
2348,3757174,2,225
1866,7275444,2,232
2047,4255013,2,204
2047,4458806,2,227
1672,4036988,2,261
2187,7921367,2,269
2166,3813523,2,243
1672,7899574,2,276
48432,7899391,2,270
6673104,2187,2,321
6673099,1775,2,388
2333,3812970,2,226
2095,5231724,2,195
1923,4238788,2,293
2095,5231725,2,185
6673100,1775,2,353
1706,4146088,2,316
2507,3682070,2,260
2507,3682071,2,243
1672,7275154,2,215
2482,1977,2,300
2215,3754320,2,232
6673083,2483,2,191
1923,7965057,2,250
1866,7275456,2,253
1866,7275455,2,201
6673100,2385,2,353
5122175,2450,2,265
2126,8357918,2,281
1778,7275392,2,321
1809,3757175,2,225
1778,7275393,2,274
1809,3757174,2,225
2482,7275446,2,276
2482,7275447,2,275
2482,7964952,2,261
2097,4458806,2,227
4473126,1673,2,191
1998,7275459,2,270
2482,4036988,2,261
2320,5244905,2,298
2045,3764087,2,185
2045,3764088,2,185
1853,6041756,2,298
6673101,1809,2,225
2482,7964969,2,205
5122176,2450,2,306
1853,6041755,2,298
6673099,2385,2,388
2006,4834678,2,270
2103,7260957,2,289
2103,7260956,2,286
1999,6682694,2,195
1999,6682693,2,212
2097,3730339,2,207
4473137,1776,2,304
5122193,2045,2,191
4314737,2348,2,204
1998,8079727,2,330
2507,3682090,2,243
1706,2224153,2,279
1998,8079726,2,330
2108,3786300,2,231
1941,5244904,2,288
1706,2224154,2,279
1672,7931806,2,153
4473136,1776,2,320
2333,7275157,2,201
2333,7275158,2,253
