,insee,year,population,pct_ch,steps
252,78406,1962,282.0,1.558011049723757,1
253,78406,1968,233.0,0.8262411347517731,2
254,78406,1975,288.0,1.2360515021459229,3
255,78406,1982,340.0,1.1805555555555556,4
256,78406,1990,335.0,0.9852941176470589,5
257,78406,1999,340.0,1.0149253731343284,6
258,78406,2006,321.0,0.9441176470588235,7
259,78406,2012,279.0,0.8691588785046729,8
260,78406,2017,289.0,1.03584229390681,9
261,91093,1962,206.0,1.2189349112426036,1
262,91093,1968,253.0,1.2281553398058251,2
263,91093,1975,339.0,1.3399209486166008,3
264,91093,1982,416.0,1.2271386430678466,4
265,91093,1990,509.0,1.2235576923076923,5
266,91093,1999,581.0,1.1414538310412574,6
267,91093,2006,635.0,1.0929432013769362,7
268,91093,2012,632.0,0.9952755905511811,8
269,91093,2017,643.0,1.0174050632911393,9
270,91634,1962,281.0,1.0035714285714286,1
271,91634,1968,338.0,1.2028469750889679,2
272,91634,1975,508.0,1.5029585798816567,3
273,91634,1982,700.0,1.3779527559055118,4
274,91634,1990,903.0,1.29,5
275,91634,1999,1085.0,1.2015503875968991,6
276,91634,2006,1203.0,1.1087557603686635,7
277,91634,2012,1304.0,1.083956774729842,8
278,91634,2017,1287.0,0.9869631901840491,9
279,78548,1962,273.0,1.2297297297297298,1
280,78548,1968,235.0,0.8608058608058609,2
281,78548,1975,290.0,1.2340425531914894,3
282,78548,1982,370.0,1.2758620689655173,4
283,78548,1990,458.0,1.2378378378378379,5
284,78548,1999,521.0,1.1375545851528384,6
285,78548,2006,484.0,0.9289827255278311,7
286,78548,2012,459.0,0.9483471074380165,8
287,78548,2017,518.0,1.1285403050108933,9
288,91312,1962,5514.0,1.4862533692722373,1
289,91312,1968,7794.0,1.4134929270946681,2
290,91312,1975,9102.0,1.1678214010777521,3
291,91312,1982,9235.0,1.0146121731487585,4
292,91312,1990,9428.0,1.020898754737412,5
293,91312,1999,9375.0,0.9943784471786169,6
294,91312,2006,10184.0,1.0862933333333333,7
295,91312,2012,10573.0,1.038197172034564,8
296,91312,2017,10052.0,0.9507235410952426,9
297,91666,1962,716.0,1.3795761078998072,1
298,91666,1968,793.0,1.1075418994413408,2
299,91666,1975,889.0,1.1210592686002523,3
300,91666,1982,917.0,1.031496062992126,4
301,91666,1990,1324.0,1.4438386041439477,5
302,91666,1999,1657.0,1.251510574018127,6
303,91666,2006,2059.0,1.2426071213035605,7
304,91666,2012,2268.0,1.1015055852355513,8
305,91666,2017,2385.0,1.0515873015873016,9
306,91635,1962,1085.0,1.9908256880733946,1
307,91635,1968,1757.0,1.6193548387096774,2
308,91635,1975,1856.0,1.0563460443938533,3
309,91635,1982,1775.0,0.9563577586206896,4
310,91635,1990,1795.0,1.0112676056338028,5
311,91635,1999,2060.0,1.1476323119777159,6
312,91635,2006,2010.0,0.9757281553398058,7
313,91635,2012,1956.0,0.9731343283582089,8
314,91635,2017,2059.0,1.0526584867075666,9
315,91186,1962,145.0,1.1328125,1
316,91186,1968,146.0,1.006896551724138,2
317,91186,1975,209.0,1.4315068493150684,3
318,91186,1982,302.0,1.444976076555024,4
319,91186,1990,461.0,1.5264900662251655,5
320,91186,1999,585.0,1.2689804772234274,6
321,91186,2006,583.0,0.9965811965811966,7
322,91186,2012,608.0,1.0428816466552315,8
323,91186,2017,572.0,0.9407894736842105,9
324,91243,1962,847.0,0.75625,1
325,91243,1968,929.0,1.0968122786304604,2
326,91243,1975,1168.0,1.257265877287406,3
327,91243,1982,1204.0,1.0308219178082192,4
328,91243,1990,1567.0,1.3014950166112957,5
329,91243,1999,1707.0,1.089342693044033,6
330,91243,2006,1713.0,1.0035149384885764,7
