,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
196,95585,32.54,22.31,15074.0,6960.43,0.19,26.79,32.03,29.72,MÃ‰LENCHON Jean-Luc,34.0,15073.5,,,,2263.0
197,95598,57.15,11.85,23743.0,4438.23,0.35,26.27,31.58,29.42,MACRON Emmanuel,12.0,23742.67,,,,3465.0
198,95428,57.7,10.98,26411.0,4020.15,0.44,26.38,31.91,29.37,FILLON FranÃ§ois,11.0,26411.11,117.0,2241278.24,10005.92,3417.0
199,93006,35.04,18.1,16583.0,13429.18,0.31,31.93,28.88,32.78,MÃ‰LENCHON Jean-Luc,31.0,16583.0,,,,4470.0
200,94080,48.44,9.41,31451.0,25470.68,0.64,31.31,28.63,32.44,MACRON Emmanuel,8.0,31450.67,413.0,2031931.29,7426.09,7226.0
201,92004,42.19,11.45,24371.0,17297.93,0.5,31.76,29.33,32.84,MACRON Emmanuel,16.0,24370.5,280.0,2242350.47,8032.56,5379.0
202,92009,52.22,10.01,28760.0,14988.08,0.52,29.59,29.07,31.84,MACRON Emmanuel,11.0,28760.0,115.0,1905505.54,5348.77,5568.0
203,93048,36.3,17.67,18428.0,11580.67,0.4,32.12,29.52,33.03,MÃ‰LENCHON Jean-Luc,26.0,18428.0,79.0,1995166.46,6756.95,4774.0
204,93055,32.29,17.62,16851.0,10652.87,0.35,32.53,29.1,32.32,MÃ‰LENCHON Jean-Luc,29.0,16851.43,,,,4646.0
205,95369,76.46,8.4,29717.0,3934.25,0.49,23.97,32.03,28.3,MACRON Emmanuel,,29716.94,,,,3379.0
206,95680,35.77,21.85,14903.0,3757.26,0.19,25.36,31.97,29.55,MÃ‰LENCHON Jean-Luc,35.0,14903.08,,,,2431.0
207,95205,63.38,10.64,23629.0,958.45,0.33,23.91,32.47,28.98,MACRON Emmanuel,9.0,23628.5,,,,2822.0
208,95489,84.67,12.35,26431.0,175.54,0.34,23.66,32.26,28.33,FILLON FranÃ§ois,,26431.33,,,,2844.0
209,95539,62.26,12.82,22681.0,2397.5,0.33,25.33,31.99,29.04,FILLON FranÃ§ois,12.0,22681.0,,,,3080.0
210,95288,67.51,10.99,23951.0,2780.65,0.35,26.11,31.51,29.29,MACRON Emmanuel,11.0,23950.87,,,,3005.0
211,94052,55.37,9.88,30242.0,11355.36,0.58,30.55,28.99,32.12,MACRON Emmanuel,9.0,30241.67,294.0,2167697.41,8197.05,5568.0
212,94033,45.64,14.03,23149.0,9448.57,0.42,30.96,29.42,32.2,MACRON Emmanuel,15.0,23149.17,246.0,2325899.38,8819.6,5193.0
213,95492,41.67,2.44,,16.71,0.23,22.83,32.25,28.94,FILLON FranÃ§ois,,,,,,2347.0
214,75112,30.19,10.67,27110.0,,0.59,33.62,29.18,34.48,MACRON Emmanuel,14.0,27110.0,1051.0,2173503.94,8502.38,
215,94015,69.6,8.16,29024.0,4800.9,0.5,29.73,29.4,31.64,MACRON Emmanuel,8.0,29023.67,,,,4375.0
216,77108,56.19,12.02,21726.0,3299.0,0.31,27.86,31.55,31.6,MACRON Emmanuel,15.0,21725.52,,,,3019.0
217,77363,80.22,6.61,25463.0,188.56,0.25,26.34,31.28,31.44,LE PEN Marine,,25462.67,,,,2921.0
218,92026,42.05,8.92,29389.0,21230.22,0.6,30.07,28.41,32.52,MACRON Emmanuel,10.0,29389.13,327.0,1957862.87,6981.87,6021.0
219,94054,34.59,17.81,17754.0,3195.2,0.24,27.68,30.47,31.26,MÃ‰LENCHON Jean-Luc,22.0,17754.0,,,,3141.0
220,77479,58.53,11.28,24047.0,2107.24,0.33,26.97,31.35,31.23,MACRON Emmanuel,13.0,24047.39,,,,3164.0
221,77055,50.48,11.5,21300.0,987.21,0.25,26.02,31.24,31.02,MÃ‰LENCHON Jean-Luc,11.0,21300.0,,,,2601.0
222,77517,85.91,7.99,25751.0,202.7,0.28,25.42,31.45,31.18,LE PEN Marine,,25750.67,,,,2145.0
223,77214,89.64,6.31,33300.0,268.45,0.44,23.87,31.22,31.15,FILLON FranÃ§ois,,33300.0,,,,4188.0
224,77462,57.1,7.86,22428.0,66.64,0.22,23.86,31.63,31.13,LE PEN Marine,,22428.33,,,,2834.0
225,77153,66.88,8.85,24386.0,917.56,0.31,20.93,32.31,29.99,LE PEN Marine,7.0,24386.0,,,,2584.0
226,77118,62.7,9.86,25529.0,736.56,0.3,25.07,31.74,31.49,LE PEN Marine,7.0,25528.67,,,,3222.0
227,77420,80.04,9.19,24674.0,610.56,0.23,21.0,31.9,30.09,LE PEN Marine,6.0,24673.5,,,,2618.0
228,77427,86.12,6.36,25467.0,74.45,0.3,22.04,31.59,30.78,LE PEN Marine,,25466.96,,,,3040.0
229,77372,57.82,10.32,25351.0,485.89,0.32,25.52,31.42,30.93,MACRON Emmanuel,9.0,25351.0,,,,2992.0
230,77005,78.76,7.57,26606.0,246.68,0.35,24.02,31.73,30.99,LE PEN Marine,,26606.0,,,,2707.0
231,77062,78.53,6.47,26661.0,305.0,0.35,23.16,31.39,30.26,FILLON FranÃ§ois,,26661.33,,,,3482.0
232,77332,79.59,5.13,25138.0,51.74,0.21,21.9,31.4,30.61,LE PEN Marine,,25138.4,,,,2514.0
233,77292,68.69,5.57,26842.0,106.61,0.34,23.32,31.72,31.2,LE PEN Marine,,26842.22,,,,3053.0
234,77241,77.58,7.92,24217.0,282.82,0.23,21.29,31.67,30.31,LE PEN Marine,,24217.22,,,,2351.0
235,77525,80.74,11.57,25123.0,67.11,0.18,20.2,31.64,30.12,LE PEN Marine,,25123.33,,,,1149.0
