,CODGEO,LIBGEO,TauxProprietaires,TauxChomage,NiveauVieMedian,MacronExpIns,MacronExpVote
194,77204,Germigny-sous-Coulombs,87.17948718,12.64367816,22135,"69,62","84,62"
195,77205,Gesvres-le-Chapitre,89.79591837,8.139534884,27178,"71,9","84,47"
196,77206,Giremoutiers,71.18644068,5.479452055,22821,"68,89","81,58"
197,77207,Gironville,91.93548387,4.705882353,20941,"62,88","85,57"
198,77208,Gouaix,76.70979667,14.77272727,20950,"64,69","87,5"
199,77209,Gouvernes,85.64920273,8.49220104,31856,"73,36","89,61"
200,77210,La Grande-Paroisse,84.33962264,11.14675221,22796,"68,09","86,49"
201,77211,Grandpuits-Bailly-Carrois,84.79381443,10.96153846,22209,"70,21","88,83"
202,77212,Gravon,93.33333333,17.39130435,25522,"72,67","88,62"
203,77214,Gressy,89.64497041,6.313131313,33300,"73,1","89,33"
204,77215,Gretz-Armainvilliers,55.71677307,11.9047619,21868,"65,46","88,68"
205,77216,Grez-sur-Loing,82.13058419,8.625730994,24223,"69,38","89,4"
206,77217,Grisy-Suisnes,84.07367281,6.823529412,26754,"65,14","89,05"
207,77218,Grisy-sur-Seine,60.41666667,22.4137931,19745,"65,26","86,11"
208,77219,Guérard,88,7.256778309,26036,"69,52","87,79"
209,77220,Guercheville,87.5,5.925925926,24027,"79,72","89,89"
210,77221,Guermantes,85.52036199,6.598984772,31144,"74,03","87,13"
211,77222,Guignes,66.93386774,8.621529469,22231,"65,64","88,66"
212,77223,Gurcy-le-Châtel,81.48148148,8.620689655,22721,"75,73","91,4"
213,77224,Hautefeuille,82.8125,1.863354037,24447,"70,95","87,5"
214,77225,La Haute-Maison,70.90909091,9.74025974,22531,"64,55","88,75"
215,77226,Héricy,81.8707811,8.203445447,27347,"69,73","88,49"
216,77227,Hermé,87.74703557,12.77955272,21087,"72,04","89,94"
217,77228,Hondevilliers,93.26923077,11.81102362,22591,"63,72","85,09"
218,77229,La Houssaye-en-Brie,86.5448505,7.667031763,25608,"67,58","88,24"
219,77230,Ichy,88.57142857,7.865168539,22108,"62,6","88,51"
220,77231,Isles-les-Meldeuses,77.93594306,11.03117506,21656,69,"89,24"
221,77232,Isles-lès-Villenoy,85.44303797,7.4,26178,70,"88,81"
222,77233,Iverny,82.29665072,9.120521173,23610,"71,47","88,04"
223,77234,Jablines,81.25,7.556675063,26387,"67,39","83,58"
224,77235,Jaignes,84.03361345,12.65060241,23586,"64,96","82,5"
225,77236,Jaulnes,89.54248366,5.421686747,22824,"67,73","83,77"
226,77237,Jossigny,72.98387097,9.119496855,25461,"71,14","91,25"
227,77238,Jouarre,67.71117166,13.08641975,21263,"63,8","88,51"
228,77239,Jouy-le-Châtel,76.91001698,8.706467662,21925,"69,82","87,14"
229,77240,Jouy-sur-Morin,79.10271547,12.23175966,20758,"63,1","87,76"
230,77241,Juilly,77.58112094,7.919847328,24217,"70,05","88,77"
231,77242,Jutigny,79.31034483,7.114624506,21541,"71,84","89,29"
232,77243,Lagny-sur-Marne,54.79180436,12.06977398,22993,"67,77","89,14"
233,77244,Larchant,81.78807947,7.386363636,24402,"68,34","88,62"
234,77245,Laval-en-Brie,91.76470588,9.166666667,22513,"64,39","84,01"
235,77246,Léchelle,85.71428571,12.17712177,21228,"71,18","87,38"
236,77247,Lescherolles,90.90909091,10.30042918,21760,"64,48","88,39"
237,77248,Lesches,92.09486166,6.486486486,29608,"67,96","85,78"
238,77249,Lésigny,85.60687433,7.660937955,29156,"64,27","89,06"
239,77250,Leudon-en-Brie,85.48387097,6.976744186,22957,"77,52","92,59"
240,77251,Lieusaint,49.00342259,10.67987889,21922,"65,28","87,93"
241,77252,Limoges-Fourches,81.29032258,7.692307692,25778,"67,45","88,8"
242,77253,Lissy,88.46153846,2.857142857,25850,"67,52","80,92"
243,77254,Liverdy-en-Brie,86.04166667,5.196629213,26468,"66,39","86,4"
244,77255,Livry-sur-Seine,82.84424379,7.785087719,26218,"69,19","88,92"
245,77256,Lizines,87.14285714,13.75,22448,"79,44","88,54"
246,77257,Lizy-sur-Ourcq,35.85034014,21.17008444,17876,"60,92","89,06"
247,77258,Lognes,46.65441176,15.38461538,20743,"64,04","91,32"
248,77259,Longperrier,56.52173913,14.14296695,23653,"68,25",90
249,77260,Longueville,55.66433566,18.73479319,18686,"67,33","89,59"
250,77261,Lorrez-le-Bocage-Préaux,66.91449814,14.26229508,21489,"64,78","86,63"
251,77262,Louan-Villegruis-Fontaine,88.94472362,13.88888889,20942,"72,49","90,43"
252,77263,Luisetaines,93.10344828,5.217391304,21186,"68,68","89,29"
253,77264,Lumigny-Nesles-Ormeaux,83.15412186,7.934508816,24747,"72,32","89,17"
254,77265,Luzancy,74.88372093,16.07445008,21617,"68,56","87,89"
255,77266,Machault,84.19243986,7.177033493,24673,"68,17","86,75"
256,77267,La Madeleine-sur-Loing,93.79310345,7.01754386,23019,"65,75","87,89"
257,77268,Magny-le-Hongre,59.40688776,7.754509641,27287,"71,39","89,7"
258,77269,Maincy,84.88372093,10.96045198,25694,"67,53","87,67"
259,77270,Maisoncelles-en-Brie,88.21656051,6.046511628,26436,"67,56","86,32"
260,77271,Maisoncelles-en-Gâtinais,83.63636364,6.557377049,22103,"63,04","84,06"
261,77272,Maison-Rouge,84.85804416,10.29411765,22820,"70,5","87,08"
