,insee,TauxProprietaires,TauxChomage,NiveauVieMedian
30330,77366,86.40776699,6.707317073,25045
30331,77367,65.97938144,12.5,21943
30332,77368,73.19587629,9.489051095,20819
30333,77369,86.69354839,9.116809117,26481
30334,77370,88.4180791,8,23984
30335,77371,83.01544051,9.866666667,23270
30336,77372,57.81637717,10.32289628,25351
30337,77373,60.67719152,10.40712468,22717
30338,77374,82.33918129,6.349206349,26130
30339,77376,68.53146853,8.558558559,25265
30340,77377,78.37514934,7.996702391,25632
30341,77378,72.31270358,8.600682594,25129
30342,77379,30.66938624,22.33560091,17595
30343,77380,72.64957265,13.52941176,25176
30344,77381,94.80519481,7.8125,24334
30345,77382,80.45040728,7.199424046,25534
30346,77383,85.3820598,8.037825059,23672
30347,77384,74.38752784,8.477237049,24180
30348,77385,59.9537037,14.59353575,19521
30349,77386,84.09893993,10.08902077,27187
30350,77387,84.53038674,10.20408163,23430
30351,77388,89.64401294,9.911894273,23748
30352,77389,59.17044718,11.51586369,26455
30353,77390,63.75308642,11.68527655,22202
30354,77391,91.09947644,10.34482759,22133
30355,77392,89.0459364,5.394190871,26029
30356,77393,60.85814361,9.05141202,23319
30357,77394,74.2014742,11.9047619,27006
30358,77395,94.54545455,6.25,23441
30359,77396,82.92682927,9.433962264,23950
30360,77397,77.41496599,13.07420495,21524
30361,77398,85.5704698,12.05882353,21505
30362,77400,88.33087149,7.719714964,24853
30363,77401,90.03690037,10.6442577,23866
30364,77402,88.05970149,6.951871658,20280
30365,77403,80.25477707,11.56069364,22807
30366,77404,83.21479374,12.52955083,20726
30367,77405,84.48043185,11.41692151,23129
30368,77406,92.67605634,10.59063136,24226
30369,77407,64.30490262,9.64924442,23451
30370,77408,86.82634731,6.12244898,27062
30371,77409,73.8625363,13.4155744,21211
30372,77410,85.11450382,9.004739336,25611
30373,77411,95.02762431,8.389261745,22751
30374,77412,87.05035971,7.103825137,25455
30375,77413,81.73784978,7.054388799,25630
30376,77414,83.70786517,16.2055336,21755
30377,77415,78.85835095,10.22900763,23804
30378,77416,92.04545455,8.571428571,24816
30379,77417,72.52747253,10.60606061,23753
30380,77418,80.65395095,11.80555556,21310
30381,77419,74.11504425,11.40776699,22576
30382,77420,80.04322767,9.186746988,24674
30383,77421,90.56603774,7.594936709,21813
30384,77423,91.76029963,10.97560976,22097
30385,77424,91.50943396,7.692307692,20920
30386,77425,84.96732026,11.11111111,30911
30387,77426,86,4.14507772,26963
30388,77427,86.12440191,6.358381503,25467
30389,77428,97.02970297,5.473684211,25664
30390,77429,94.08866995,8.148148148,23837
30391,77430,89.39469735,9.00729464,24892
30392,77431,79.02588855,12.62095078,22457
30393,77432,82.63157895,10.6918239,22920
30394,77433,88.97243108,8.042635659,24237
30395,77434,87.57763975,8.641975309,22985
30396,77435,93.54120267,6.432748538,30182
30397,77436,88.85714286,9.635974304,23943
30398,77437,69.56521739,10.31468531,23084
30399,77438,69.18103448,10.88629239,24996
30400,77439,90.14084507,9.018036072,22904
30401,77440,81.31067961,11.05263158,23073
30402,77441,73.77622378,9.247311828,30710
30403,77442,80,8.067375887,27854
30404,77443,97.6744186,6.467661692,24790
30405,77444,86.44067797,12.85714286,21813
30406,77445,59.30905879,14.67438302,20248
30407,77446,89.91935484,8.650519031,22415
30408,77447,80.70652174,7.209062822,31227
30409,77448,78.26086957,15.625,23401
30410,77449,39.77613978,10.52020886,23639
30411,77450,86.53198653,7.637655417,27958
30412,77451,84.7107438,9.240924092,23705
30413,77452,75,11.11111111,
30414,77453,89.06976744,7.221350078,25786
30415,77454,92.25806452,10.72961373,22834
30416,77455,88.32020997,9.716981132,25457
